image_id,image_path,width,height,candidate_count,runtime_ms
020_0002_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\020_0002_j.png,101,119,7,135.617
020_0003,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\020_0003.png,190,160,2,2.628
020_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\020_0004.png,146,135,5,1.79
020_0006,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\020_0006.png,243,216,15,3.485
021_0002_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\021_0002_j.png,136,117,4,1.691
021_0003,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\021_0003.png,131,117,1,1.132
021_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\021_0004.png,138,125,1,1.39
021_0004_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\021_0004_j.png,178,161,7,2.222
022_0005,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\022_0005.png,143,127,1,1.567
023_1_0002_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\023_1_0002_1_j.png,161,155,1,1.456
023_1_0003,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\023_1_0003.png,165,150,1,1.608
023_1_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\023_1_0004.png,96,93,1,1.317
023_1_0005,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\023_1_0005.png,239,192,1,2.622
024_1_0016,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\024_1_0016.png,290,247,2,3.647
024_1_0017,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\024_1_0017.png,262,230,6,3.256
026_1_0016,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\026_1_0016.png,142,128,2,1.638
027_0002,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\027_0002.png,139,130,3,1.738
027_0010,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\027_0010.png,92,92,5,1.348
027_0012,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\027_0012.png,102,95,1,1.117
028_0202,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\028_0202.png,125,114,2,1.376
028_1_0007,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\028_1_0007.png,155,155,10,2.102
028_1_0216,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\028_1_0216.png,188,169,3,2.235
029_1_0015,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\029_1_0015.png,161,152,1,1.508
030_1_0002,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\030_1_0002.png,230,220,4,3.529
030_1_0018_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\030_1_0018_1_j.png,168,147,1,2.216
030_1_0023,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\030_1_0023.png,138,108,1,1.635
031_0011,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\031_0011.png,138,126,1,2.434
031_1_0020,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Blue Signs\031_1_0020.png,279,257,7,4.925
000_1_0002,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\000_1_0002.png,165,151,4,2.368
000_1_0013,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\000_1_0013.png,158,127,1,2.154
000_1_0018,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\000_1_0018.png,212,194,1,3.115
000_1_0034,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\000_1_0034.png,70,60,1,1.635
001_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\001_0004.png,78,65,1,1.215
001_1_0009,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\001_1_0009.png,131,124,8,2.409
002_0036,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\002_0036.png,235,214,1,3.035
002_1_0010,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\002_1_0010.png,95,76,2,1.543
